date,location,item,opening_stock,received,issued,closing_stock,lead_time_days,criticality,supplier
2025-01-01,Hospital A,Paracetamol,175,46,59,162,5,High,Supplier Y
2025-01-01,Hospital A,Amoxicillin,152,18,4,166,6,High,Supplier X
2025-01-01,Hospital A,Rice,69,30,14,85,3,Medium,Supplier Y
2025-01-01,Hospital A,Flour,164,43,146,61,2,Medium,Supplier Y
2025-01-01,Hospital B,Paracetamol,115,48,86,77,2,High,Supplier X
2025-01-01,Hospital B,Amoxicillin,58,22,39,41,4,High,Supplier X
2025-01-01,Hospital B,Rice,178,38,102,114,2,Medium,Supplier X
2025-01-01,Hospital B,Flour,92,4,19,77,5,Medium,Supplier Y
2025-01-01,Warehouse C,Paracetamol,183,48,102,129,3,High,Supplier Y
2025-01-01,Warehouse C,Amoxicillin,57,4,58,3,2,High,Supplier X
2025-01-01,Warehouse C,Rice,124,17,42,99,3,Medium,Supplier X
2025-01-01,Warehouse C,Flour,196,34,1,229,2,Medium,Supplier X
2025-01-02,Hospital A,Paracetamol,139,17,147,9,3,High,Supplier Y
2025-01-02,Hospital A,Amoxicillin,99,44,44,99,5,High,Supplier X
2025-01-02,Hospital A,Rice,133,37,73,97,3,Medium,Supplier Y
2025-01-02,Hospital A,Flour,96,36,76,56,3,Medium,Supplier X
2025-01-02,Hospital B,Paracetamol,122,20,65,77,6,High,Supplier Y
2025-01-02,Hospital B,Amoxicillin,94,8,39,63,4,High,Supplier X
2025-01-02,Hospital B,Rice,90,32,86,36,6,Medium,Supplier Y
2025-01-02,Hospital B,Flour,102,9,2,109,6,Medium,Supplier Y
2025-01-02,Warehouse C,Paracetamol,140,12,108,44,4,High,Supplier X
2025-01-02,Warehouse C,Amoxicillin,180,22,165,37,2,High,Supplier X
2025-01-02,Warehouse C,Rice,67,29,65,31,6,Medium,Supplier Y
2025-01-02,Warehouse C,Flour,127,10,109,28,6,Medium,Supplier Y
2025-01-03,Hospital A,Paracetamol,51,6,40,17,3,High,Supplier Y
2025-01-03,Hospital A,Amoxicillin,132,27,11,148,2,High,Supplier Y
2025-01-03,Hospital A,Rice,183,22,134,71,6,Medium,Supplier Y
2025-01-03,Hospital A,Flour,98,47,34,111,2,Medium,Supplier Y
2025-01-03,Hospital B,Paracetamol,196,1,2,195,2,High,Supplier X
2025-01-03,Hospital B,Amoxicillin,103,35,102,36,5,High,Supplier Y
2025-01-03,Hospital B,Rice,185,47,38,194,3,Medium,Supplier X
2025-01-03,Hospital B,Flour,104,39,81,62,2,Medium,Supplier X
2025-01-03,Warehouse C,Paracetamol,116,49,85,80,2,High,Supplier X
2025-01-03,Warehouse C,Amoxicillin,70,29,22,77,2,High,Supplier Y
2025-01-03,Warehouse C,Rice,167,28,145,50,2,Medium,Supplier Y
2025-01-03,Warehouse C,Flour,146,47,178,15,3,Medium,Supplier X
2025-01-04,Hospital A,Paracetamol,170,32,48,154,5,High,Supplier X
2025-01-04,Hospital A,Amoxicillin,194,45,128,111,4,High,Supplier Y
2025-01-04,Hospital A,Rice,54,36,55,35,3,Medium,Supplier X
2025-01-04,Hospital A,Flour,109,30,17,122,5,Medium,Supplier Y
2025-01-04,Hospital B,Paracetamol,168,0,27,141,4,High,Supplier X
2025-01-04,Hospital B,Amoxicillin,89,47,120,16,5,High,Supplier X
2025-01-04,Hospital B,Rice,82,8,51,39,6,Medium,Supplier Y
2025-01-04,Hospital B,Flour,128,49,65,112,2,Medium,Supplier Y
2025-01-04,Warehouse C,Paracetamol,183,20,25,178,3,High,Supplier Y
2025-01-04,Warehouse C,Amoxicillin,115,25,59,81,5,High,Supplier X
2025-01-04,Warehouse C,Rice,138,39,90,87,2,Medium,Supplier X
2025-01-04,Warehouse C,Flour,123,37,121,39,4,Medium,Supplier X
2025-01-05,Hospital A,Paracetamol,135,46,92,89,3,High,Supplier X
2025-01-05,Hospital A,Amoxicillin,90,18,59,49,5,High,Supplier X
2025-01-05,Hospital A,Rice,70,25,54,41,3,Medium,Supplier Y
2025-01-05,Hospital A,Flour,161,20,89,92,3,Medium,Supplier X
2025-01-05,Hospital B,Paracetamol,76,33,44,65,4,High,Supplier X
2025-01-05,Hospital B,Amoxicillin,195,35,80,150,5,High,Supplier X
2025-01-05,Hospital B,Rice,173,20,121,72,4,Medium,Supplier X
2025-01-05,Hospital B,Flour,123,27,116,34,2,Medium,Supplier Y
2025-01-05,Warehouse C,Paracetamol,111,18,101,28,4,High,Supplier X
2025-01-05,Warehouse C,Amoxicillin,56,2,29,29,3,High,Supplier X
2025-01-05,Warehouse C,Rice,105,29,106,28,6,Medium,Supplier X
2025-01-05,Warehouse C,Flour,53,26,5,74,5,Medium,Supplier X
2025-01-06,Hospital A,Paracetamol,115,48,151,12,5,High,Supplier Y
2025-01-06,Hospital A,Amoxicillin,68,31,83,16,3,High,Supplier X
2025-01-06,Hospital A,Rice,190,22,42,170,2,Medium,Supplier X
2025-01-06,Hospital A,Flour,137,40,120,57,3,Medium,Supplier Y
2025-01-06,Hospital B,Paracetamol,69,12,54,27,3,High,Supplier X
2025-01-06,Hospital B,Amoxicillin,67,3,59,11,4,High,Supplier X
2025-01-06,Hospital B,Rice,105,39,142,2,4,Medium,Supplier Y
2025-01-06,Hospital B,Flour,132,11,66,77,6,Medium,Supplier X
2025-01-06,Warehouse C,Paracetamol,91,39,109,21,6,High,Supplier X
2025-01-06,Warehouse C,Amoxicillin,65,5,47,23,3,High,Supplier X
2025-01-06,Warehouse C,Rice,171,40,109,102,6,Medium,Supplier Y
2025-01-06,Warehouse C,Flour,59,46,16,89,6,Medium,Supplier Y
2025-01-07,Hospital A,Paracetamol,79,44,71,52,3,High,Supplier Y
2025-01-07,Hospital A,Amoxicillin,140,22,64,98,3,High,Supplier Y
2025-01-07,Hospital A,Rice,194,10,92,112,5,Medium,Supplier Y
2025-01-07,Hospital A,Flour,154,13,63,104,3,Medium,Supplier X
2025-01-07,Hospital B,Paracetamol,131,32,60,103,2,High,Supplier X
2025-01-07,Hospital B,Amoxicillin,97,47,126,18,6,High,Supplier Y
2025-01-07,Hospital B,Rice,108,2,82,28,2,Medium,Supplier X
2025-01-07,Hospital B,Flour,147,49,109,87,3,Medium,Supplier X
2025-01-07,Warehouse C,Paracetamol,187,42,219,10,6,High,Supplier Y
2025-01-07,Warehouse C,Amoxicillin,189,48,206,31,2,High,Supplier X
2025-01-07,Warehouse C,Rice,99,9,3,105,6,Medium,Supplier Y
2025-01-07,Warehouse C,Flour,70,26,6,90,2,Medium,Supplier X
2025-01-08,Hospital A,Paracetamol,132,29,146,15,5,High,Supplier X
2025-01-08,Hospital A,Amoxicillin,108,8,51,65,4,High,Supplier Y
2025-01-08,Hospital A,Rice,124,39,23,140,4,Medium,Supplier X
2025-01-08,Hospital A,Flour,102,48,69,81,2,Medium,Supplier X
2025-01-08,Hospital B,Paracetamol,119,14,51,82,3,High,Supplier Y
2025-01-08,Hospital B,Amoxicillin,106,33,17,122,2,High,Supplier X
2025-01-08,Hospital B,Rice,65,22,21,66,2,Medium,Supplier X
2025-01-08,Hospital B,Flour,55,5,7,53,5,Medium,Supplier X
2025-01-08,Warehouse C,Paracetamol,118,38,112,44,5,High,Supplier Y
2025-01-08,Warehouse C,Amoxicillin,51,32,47,36,5,High,Supplier X
2025-01-08,Warehouse C,Rice,125,8,90,43,2,Medium,Supplier X
2025-01-08,Warehouse C,Flour,85,37,101,21,4,Medium,Supplier Y
2025-01-09,Hospital A,Paracetamol,151,24,172,3,3,High,Supplier X
2025-01-09,Hospital A,Amoxicillin,186,45,65,166,6,High,Supplier Y
2025-01-09,Hospital A,Rice,198,25,204,19,6,Medium,Supplier X
2025-01-09,Hospital A,Flour,63,9,55,17,4,Medium,Supplier X
2025-01-09,Hospital B,Paracetamol,67,48,40,75,6,High,Supplier Y
2025-01-09,Hospital B,Amoxicillin,173,23,86,110,4,High,Supplier Y
2025-01-09,Hospital B,Rice,121,19,89,51,2,Medium,Supplier X
2025-01-09,Hospital B,Flour,88,7,13,82,6,Medium,Supplier Y
2025-01-09,Warehouse C,Paracetamol,150,7,38,119,2,High,Supplier X
2025-01-09,Warehouse C,Amoxicillin,55,16,3,68,6,High,Supplier Y
2025-01-09,Warehouse C,Rice,177,31,185,23,3,Medium,Supplier X
2025-01-09,Warehouse C,Flour,125,33,53,105,3,Medium,Supplier X
2025-01-10,Hospital A,Paracetamol,67,22,45,44,3,High,Supplier X
2025-01-10,Hospital A,Amoxicillin,168,11,84,95,2,High,Supplier Y
