date,location,item,closing_stock,Inventory_Status,Recommendation,Alert,supplier
2025-01-01,Hospital A,Paracetamol,162,Healthy,No Action Required,OK,Supplier Y
2025-01-01,Hospital A,Amoxicillin,166,Healthy,No Action Required,OK,Supplier X
2025-01-01,Hospital A,Rice,85,Warning,Reorder Soon,OK,Supplier Y
2025-01-01,Hospital A,Flour,61,Warning,Reorder Soon,OK,Supplier Y
2025-01-01,Hospital B,Paracetamol,77,Warning,Reorder Soon,OK,Supplier X
2025-01-01,Hospital B,Amoxicillin,41,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-01,Hospital B,Rice,114,Healthy,No Action Required,OK,Supplier X
2025-01-01,Hospital B,Flour,77,Warning,Reorder Soon,OK,Supplier Y
2025-01-01,Warehouse C,Paracetamol,129,Healthy,No Action Required,OK,Supplier Y
2025-01-01,Warehouse C,Amoxicillin,3,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-01,Warehouse C,Rice,99,Warning,Reorder Soon,OK,Supplier X
2025-01-01,Warehouse C,Flour,229,Healthy,No Action Required,OK,Supplier X
2025-01-02,Hospital A,Paracetamol,9,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-02,Hospital A,Amoxicillin,99,Warning,Reorder Soon,OK,Supplier X
2025-01-02,Hospital A,Rice,97,Warning,Reorder Soon,OK,Supplier Y
2025-01-02,Hospital A,Flour,56,Warning,Reorder Soon,OK,Supplier X
2025-01-02,Hospital B,Paracetamol,77,Warning,Reorder Soon,OK,Supplier Y
2025-01-02,Hospital B,Amoxicillin,63,Warning,Reorder Soon,OK,Supplier X
2025-01-02,Hospital B,Rice,36,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-02,Hospital B,Flour,109,Healthy,No Action Required,OK,Supplier Y
2025-01-02,Warehouse C,Paracetamol,44,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-02,Warehouse C,Amoxicillin,37,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-02,Warehouse C,Rice,31,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-02,Warehouse C,Flour,28,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-03,Hospital A,Paracetamol,17,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-03,Hospital A,Amoxicillin,148,Healthy,No Action Required,OK,Supplier Y
2025-01-03,Hospital A,Rice,71,Warning,Reorder Soon,OK,Supplier Y
2025-01-03,Hospital A,Flour,111,Healthy,No Action Required,OK,Supplier Y
2025-01-03,Hospital B,Paracetamol,195,Healthy,No Action Required,OK,Supplier X
2025-01-03,Hospital B,Amoxicillin,36,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-03,Hospital B,Rice,194,Healthy,No Action Required,OK,Supplier X
2025-01-03,Hospital B,Flour,62,Warning,Reorder Soon,OK,Supplier X
2025-01-03,Warehouse C,Paracetamol,80,Warning,Reorder Soon,OK,Supplier X
2025-01-03,Warehouse C,Amoxicillin,77,Warning,Reorder Soon,OK,Supplier Y
2025-01-03,Warehouse C,Rice,50,Warning,Reorder Soon,OK,Supplier Y
2025-01-03,Warehouse C,Flour,15,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-04,Hospital A,Paracetamol,154,Healthy,No Action Required,OK,Supplier X
2025-01-04,Hospital A,Amoxicillin,111,Healthy,No Action Required,OK,Supplier Y
2025-01-04,Hospital A,Rice,35,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-04,Hospital A,Flour,122,Healthy,No Action Required,OK,Supplier Y
2025-01-04,Hospital B,Paracetamol,141,Healthy,No Action Required,OK,Supplier X
2025-01-04,Hospital B,Amoxicillin,16,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-04,Hospital B,Rice,39,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-04,Hospital B,Flour,112,Healthy,No Action Required,OK,Supplier Y
2025-01-04,Warehouse C,Paracetamol,178,Healthy,No Action Required,OK,Supplier Y
2025-01-04,Warehouse C,Amoxicillin,81,Warning,Reorder Soon,OK,Supplier X
2025-01-04,Warehouse C,Rice,87,Warning,Reorder Soon,OK,Supplier X
2025-01-04,Warehouse C,Flour,39,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-05,Hospital A,Paracetamol,89,Warning,Reorder Soon,OK,Supplier X
2025-01-05,Hospital A,Amoxicillin,49,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-05,Hospital A,Rice,41,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-05,Hospital A,Flour,92,Warning,Reorder Soon,OK,Supplier X
2025-01-05,Hospital B,Paracetamol,65,Warning,Reorder Soon,OK,Supplier X
2025-01-05,Hospital B,Amoxicillin,150,Healthy,No Action Required,OK,Supplier X
2025-01-05,Hospital B,Rice,72,Warning,Reorder Soon,OK,Supplier X
2025-01-05,Hospital B,Flour,34,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-05,Warehouse C,Paracetamol,28,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-05,Warehouse C,Amoxicillin,29,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-05,Warehouse C,Rice,28,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-05,Warehouse C,Flour,74,Warning,Reorder Soon,OK,Supplier X
2025-01-06,Hospital A,Paracetamol,12,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-06,Hospital A,Amoxicillin,16,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-06,Hospital A,Rice,170,Healthy,No Action Required,OK,Supplier X
2025-01-06,Hospital A,Flour,57,Warning,Reorder Soon,OK,Supplier Y
2025-01-06,Hospital B,Paracetamol,27,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-06,Hospital B,Amoxicillin,11,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-06,Hospital B,Rice,2,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-06,Hospital B,Flour,77,Warning,Reorder Soon,OK,Supplier X
2025-01-06,Warehouse C,Paracetamol,21,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-06,Warehouse C,Amoxicillin,23,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-06,Warehouse C,Rice,102,Healthy,No Action Required,OK,Supplier Y
2025-01-06,Warehouse C,Flour,89,Warning,Reorder Soon,OK,Supplier Y
2025-01-07,Hospital A,Paracetamol,52,Warning,Reorder Soon,OK,Supplier Y
2025-01-07,Hospital A,Amoxicillin,98,Warning,Reorder Soon,OK,Supplier Y
2025-01-07,Hospital A,Rice,112,Healthy,No Action Required,OK,Supplier Y
2025-01-07,Hospital A,Flour,104,Healthy,No Action Required,OK,Supplier X
2025-01-07,Hospital B,Paracetamol,103,Healthy,No Action Required,OK,Supplier X
2025-01-07,Hospital B,Amoxicillin,18,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
2025-01-07,Hospital B,Rice,28,Critical,Reorder Immediately,Low Stock Alert,Supplier X
2025-01-07,Hospital B,Flour,87,Warning,Reorder Soon,OK,Supplier X
2025-01-07,Warehouse C,Paracetamol,10,Critical,Reorder Immediately,Low Stock Alert,Supplier Y
