brand_name,generic_name,manufacturer,therapeutic_class,price,final_price,availability_status,rating,num_reviews
HealPlus,Atorvastatin,Global Remedies,Antihypertensive,1788.16,1430.53,In stock,2.6,274
Medix,Paracetamol,ABC Pharma,Antacid,1640.42,1312.34,Out of stock,5.0,33
HealPlus,Paracetamol,Global Remedies,Antibiotic,1016.76,813.41,In stock,3.2,404
Medix,Paracetamol,Global Remedies,Antacid,1323.78,1323.78,In stock,2.7,116
LifeCare,Metformin,Medicare Ltd,Antidiabetic,652.83,522.26,In stock,3.2,471
BioTrust,Atorvastatin,Nova Life,Antidiabetic,1339.89,1071.91,Limited,3.6,337
BioTrust,Paracetamol,Nova Life,Antacid,885.9,841.61,In stock,2.6,407
HealPlus,Atorvastatin,ABC Pharma,Antidiabetic,722.94,650.65,Limited,4.1,133
Medix,Omeprazole,Nova Life,Analgesic,315.02,252.02,Limited,4.1,282
Medix,Metformin,Medicare Ltd,Antidiabetic,1366.12,1297.81,Out of stock,3.6,118
BioTrust,Metformin,ABC Pharma,Antidiabetic,1544.93,1390.44,In stock,3.7,422
LifeCare,Amoxicillin,Global Remedies,Analgesic,546.76,437.41,Out of stock,2.7,413
BioTrust,Metformin,Global Remedies,Antihypertensive,1411.96,1200.17,In stock,3.2,308
PharmaOne,Paracetamol,Sun Healthcare,Antidiabetic,1594.25,1275.4,In stock,4.3,369
BioTrust,Omeprazole,ABC Pharma,Analgesic,1058.19,1058.19,In stock,2.9,105
Medix,Atorvastatin,Medicare Ltd,Antidiabetic,987.81,938.42,In stock,4.6,123
Medix,Omeprazole,Nova Life,Antibiotic,529.08,476.17,In stock,4.3,43
LifeCare,Amoxicillin,Nova Life,Antacid,1094.18,930.05,Out of stock,2.7,417
Medix,Amoxicillin,Global Remedies,Analgesic,793.39,753.72,Limited,5.0,241
Medix,Paracetamol,ABC Pharma,Analgesic,258.5,206.8,Limited,3.0,387
BioTrust,Metformin,Global Remedies,Antibiotic,825.79,825.79,Out of stock,4.9,484
Medix,Metformin,Medicare Ltd,Antihypertensive,86.91,73.87,Out of stock,3.7,167
PharmaOne,Metformin,ABC Pharma,Antacid,1554.46,1476.74,In stock,4.2,277
BioTrust,Paracetamol,Nova Life,Antacid,1811.84,1540.06,In stock,3.3,362
HealPlus,Amoxicillin,Nova Life,Antihypertensive,1308.61,1308.61,Limited,4.8,228
Medix,Amoxicillin,ABC Pharma,Analgesic,50.69,43.09,Limited,2.6,433
LifeCare,Amoxicillin,Global Remedies,Antihypertensive,1653.65,1653.65,Limited,4.3,365
Medix,Metformin,Sun Healthcare,Antacid,259.92,246.92,Out of stock,4.7,178
HealPlus,Omeprazole,Medicare Ltd,Antacid,1527.11,1527.11,Limited,4.7,130
HealPlus,Atorvastatin,Global Remedies,Antacid,1169.34,993.94,Out of stock,3.9,50
HealPlus,Amoxicillin,Medicare Ltd,Antacid,92.33,73.86,In stock,4.3,291
LifeCare,Omeprazole,Global Remedies,Antihypertensive,1904.76,1619.05,In stock,3.3,310
BioTrust,Metformin,Global Remedies,Antihypertensive,24.65,24.65,In stock,3.6,317
LifeCare,Atorvastatin,Nova Life,Analgesic,1114.03,891.22,In stock,3.6,282
Medix,Atorvastatin,Global Remedies,Analgesic,1524.46,1295.79,Out of stock,4.4,256
LifeCare,Paracetamol,Global Remedies,Antihypertensive,624.37,593.15,Out of stock,4.6,432
PharmaOne,Atorvastatin,Global Remedies,Antibiotic,468.53,421.68,Limited,3.1,330
Medix,Paracetamol,Medicare Ltd,Antacid,45.41,38.6,Out of stock,4.8,439
Medix,Atorvastatin,Medicare Ltd,Antihypertensive,1499.28,1424.32,Limited,4.5,111
LifeCare,Omeprazole,Global Remedies,Antidiabetic,1405.05,1124.04,Out of stock,4.4,247
LifeCare,Atorvastatin,Global Remedies,Antibiotic,1815.83,1634.25,In stock,4.8,119
